Country,Release_Year,Genres,Category,Content_Count,Young_Population_Percentage
brazil,2020,music  musicals,movie,3,20.866546630859375
brazil,2020,thrillers,movie,1,20.866546630859375
brazil,2020,romantic movies,movie,1,20.866546630859375
brazil,2020,dramas,movie,3,20.866546630859375
brazil,2020,comedies,movie,5,20.866546630859375
brazil,2020,international movies,movie,8,20.866546630859375
brazil,2020,standup comedy,movie,3,20.866546630859375
brazil,2020,children  family movies,movie,2,20.866546630859375
brazil,2020,independent movies,movie,2,20.866546630859375
brazil,2020,tv dramas,tv show,4,20.866546630859375
brazil,2020,tv scifi  fantasy,tv show,2,20.866546630859375
brazil,2020,science  nature tv,tv show,1,20.866546630859375
brazil,2020,reality tv,tv show,3,20.866546630859375
brazil,2020,docuseries,tv show,3,20.866546630859375
brazil,2020,tv horror,tv show,2,20.866546630859375
brazil,2020,crime tv shows,tv show,1,20.866546630859375
brazil,2020,romantic tv shows,tv show,2,20.866546630859375
brazil,2020,kids tv,tv show,1,20.866546630859375
brazil,2020,tv mysteries,tv show,4,20.866546630859375
brazil,2020,international tv shows,tv show,13,20.866546630859375
brazil,2021,comedies,movie,4,20.645193099975586
brazil,2021,action  adventure,movie,3,20.645193099975586
brazil,2021,children  family movies,movie,1,20.645193099975586
brazil,2021,music  musicals,movie,1,20.645193099975586
brazil,2021,international movies,movie,7,20.645193099975586
brazil,2021,documentaries,movie,1,20.645193099975586
brazil,2021,dramas,movie,4,20.645193099975586
brazil,2021,independent movies,movie,2,20.645193099975586
brazil,2021,docuseries,tv show,1,20.645193099975586
brazil,2021,crime tv shows,tv show,1,20.645193099975586
brazil,2021,international tv shows,tv show,1,20.645193099975586
brazil,2021,tv dramas,tv show,1,20.645193099975586
bulgaria,2017,children  family movies,movie,1,14.170507431030273
bulgaria,2017,international movies,movie,1,14.170507431030273
bulgaria,2017,thrillers,movie,1,14.170507431030273
bulgaria,2017,scifi  fantasy,movie,1,14.170507431030273
bulgaria,2018,thrillers,movie,1,14.300431251525879
bulgaria,2018,horror movies,movie,1,14.300431251525879
bulgaria,2018,international movies,movie,2,14.300431251525879
bulgaria,2018,independent movies,movie,1,14.300431251525879
bulgaria,2018,action  adventure,movie,2,14.300431251525879
bulgaria,2019,action,movie,1,14.386266708374023
bulgaria,2019,dramas,movie,1,14.386266708374023
bulgaria,2019,adventure,movie,1,14.386266708374023
bulgaria,2019,international movies,movie,1,14.386266708374023
bulgaria,2019,drama,movie,1,14.386266708374023
bulgaria,2019,thrillers,movie,1,14.386266708374023
bulgaria,2020,horror,movie,1,14.430816650390625
bulgaria,2020,action  adventure,movie,1,14.430816650390625
bulgaria,2020,dramas,movie,1,14.430816650390625
bulgaria,2020,adventure,movie,4,14.430816650390625
bulgaria,2020,action,movie,4,14.430816650390625
bulgaria,2021,action  adventure,movie,2,14.482069969177246
canada,2013,standup comedy,movie,1,16.258756637573242
canada,2013,comedy,tv show,1,16.258756637573242
canada,2013,adult animation,tv show,1,16.258756637573242
canada,2013,sitcom,tv show,1,16.258756637573242
canada,2014,comedies,movie,1,16.2314453125
canada,2014,children  family movies,movie,1,16.2314453125
