Country,Country_ID,Release_Year,Young_Population_Percentage
india,34,1961,40.79669189453125
india,34,1962,41.05830764770508
india,34,1963,41.305030822753906
india,34,1964,41.439300537109375
india,34,1965,41.44295120239258
india,34,1966,41.406436920166016
india,34,1967,41.34326171875
india,34,1968,41.263572692871094
india,34,1969,41.16631317138672
india,34,1970,41.04277420043945
india,34,1971,40.91334533691406
india,34,1972,40.77775955200195
india,34,1973,40.63477325439453
india,34,1974,40.49872970581055
india,34,1975,40.354713439941406
india,34,1976,40.2044563293457
india,34,1977,40.039207458496094
india,34,1978,39.851985931396484
india,34,1979,39.672611236572266
india,34,1980,39.51655197143555
india,34,1981,39.38410186767578
india,34,1982,39.25559997558594
india,34,1983,39.118141174316406
india,34,1984,38.98478698730469
india,34,1985,38.853050231933594
india,34,1986,38.71745681762695
india,34,1987,38.56683349609375
india,34,1988,38.38752746582031
india,34,1989,38.18513488769531
india,34,1990,37.966697692871094
india,34,1991,37.74203872680664
india,34,1992,37.518367767333984
india,34,1993,37.2900390625
india,34,1994,37.040653228759766
india,34,1995,36.762996673583984
india,34,1996,36.45549774169922
india,34,1997,36.126407623291016
india,34,1998,35.78297805786133
india,34,1999,35.41962432861328
india,34,2000,35.049808502197266
india,34,2001,34.677513122558594
india,34,2002,34.30006790161133
india,34,2003,33.91624069213867
india,34,2004,33.519569396972656
india,34,2005,33.11726760864258
india,34,2006,32.70088577270508
india,34,2007,32.269832611083984
india,34,2008,31.840438842773438
india,34,2009,31.41388702392578
india,34,2010,30.97869300842285
india,34,2011,30.53382682800293
india,34,2012,30.08172035217285
india,34,2013,29.62029266357422
india,34,2014,29.137975692749023
india,34,2015,28.6342716217041
india,34,2016,28.118532180786133
india,34,2017,27.595521926879883
india,34,2018,27.087675094604492
india,34,2019,26.594032287597656
india,34,2020,26.112333297729492
india,34,2021,25.687591552734375
india,34,2022,25.306310653686523
indonesia,57,1950,39.17109680175781
indonesia,57,1951,39.019161224365234
indonesia,57,1952,38.884708404541016
indonesia,57,1953,38.71943283081055
indonesia,57,1954,38.57091522216797
indonesia,57,1955,38.49428939819336
indonesia,57,1956,38.77830123901367
indonesia,57,1957,39.0300178527832
indonesia,57,1958,39.29554748535156
indonesia,57,1959,39.59969711303711
indonesia,57,1960,39.94149398803711
indonesia,57,1961,40.48207473754883
indonesia,57,1962,40.980167388916016
indonesia,57,1963,41.44087600708008
indonesia,57,1964,41.85698318481445
indonesia,57,1965,42.217899322509766
indonesia,57,1966,42.566917419433594
indonesia,57,1967,42.867591857910156
indonesia,57,1968,43.095481872558594
indonesia,57,1969,43.22133255004883
indonesia,57,1970,43.23760223388672
indonesia,57,1971,43.286163330078125
indonesia,57,1972,43.208839416503906
indonesia,57,1973,43.03659439086914
indonesia,57,1974,42.812252044677734
indonesia,57,1975,42.55892562866211
indonesia,57,1976,42.341026306152344
indonesia,57,1977,42.0855598449707
indonesia,57,1978,41.79377746582031
indonesia,57,1979,41.462669372558594
indonesia,57,1980,41.094600677490234
indonesia,57,1981,40.75767135620117
indonesia,57,1982,40.387630462646484
indonesia,57,1983,39.984458923339844
indonesia,57,1984,39.54315185546875
indonesia,57,1985,39.0605583190918
indonesia,57,1986,38.622947692871094
indonesia,57,1987,38.12014389038086
